tmsId,rootId,subType,title,releaseYear,releaseDate,titleLang,descriptionLang,entityType,genres,longDescription,shortDescription,topCast,directors,officialUrl,ratings,advisories,runTime,showtimes,preferredImage.width,preferredImage.height,preferredImage.caption.content,preferredImage.caption.lang,preferredImage.uri,preferredImage.category,preferredImage.text,preferredImage.primary,audience,animation,qualityRating.ratingsBody,qualityRating.value
MV013942100000,18082622,Feature Film,Come Play,2020.0,2020-10-30,en,en,Movie,"['Horror', 'Thriller']",Parents fight to save their son when a mysterious creature uses his electronic devices to break into our world.,A mysterious creature uses a lonely boy's electronic devices to break into our world.,"['Azhy Robertson', 'Gillian Jacobs', 'John Gallagher']",['Jacob Chase'],https://www.focusfeatures.com/come-play,"[{'body': 'Motion Picture Association of America', 'code': 'PG-13'}]","['Adult Language', 'Adult Situations']",PT01H36M,"[{'theatre': {'id': '5193', 'name': 'AMC 600 North Michigan 9'}, 'dateTime': '2020-11-10T18:00', 'quals': 'Closed Captioned|Descriptive Video Services|Dine-In|Recliners|Reserved Seating', 'barg': False, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AABZU&m=205740&d=2020-11-10'}, {'theatre': {'id': '5193', 'name': 'AMC 600 North Michigan 9'}, 'dateTime': '2020-11-10T19:45', 'quals': 'Closed Captioned|Descriptive Video Services|Dine-In|Recliners|Reserved Seating', 'barg': False, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AABZU&m=205740&d=2020-11-10'}, {'theatre': {'id': '5193', 'name': 'AMC 600 North Michigan 9'}, 'dateTime': '2020-11-10T20:45', 'quals': 'Closed Captioned|Descriptive Video Services|Dine-In|Recliners|Reserved Seating', 'barg': False, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AABZU&m=205740&d=2020-11-10'}, {'theatre': {'id': '5316', 'name': 'AMC River East 21'}, 'dateTime': '2020-11-10T16:10', 'quals': 'Closed Captioned|Descriptive Video Services|Reserved Seating', 'barg': False, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AAQOW&m=205740&d=2020-11-10'}, {'theatre': {'id': '5316', 'name': 'AMC River East 21'}, 'dateTime': '2020-11-10T17:10', 'quals': 'Closed Captioned|Descriptive Video Services|Reserved Seating', 'barg': False, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AAQOW&m=205740&d=2020-11-10'}, {'theatre': {'id': '5316', 'name': 'AMC River East 21'}, 'dateTime': '2020-11-10T18:40', 'quals': 'Closed Captioned|Descriptive Video Services|Reserved Seating', 'barg': False, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AAQOW&m=205740&d=2020-11-10'}, {'theatre': {'id': '5316', 'name': 'AMC River East 21'}, 'dateTime': '2020-11-10T19:55', 'quals': 'Closed Captioned|Descriptive Video Services|Reserved Seating', 'barg': False, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AAQOW&m=205740&d=2020-11-10'}, {'theatre': {'id': '11249', 'name': 'AMC Dine-in Theatres Block 37'}, 'dateTime': '2020-11-10T15:45', 'quals': '18 & Over unless with Guardian|Closed Captioned|Descriptive Video Services|Dine-In|Recliners|Reserved Seating', 'barg': False, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AAXSJ&m=205740&d=2020-11-10'}, {'theatre': {'id': '11249', 'name': 'AMC Dine-in Theatres Block 37'}, 'dateTime': '2020-11-10T16:15', 'quals': '18 & Over unless with Guardian|Closed Captioned|Descriptive Video Services|Dine-In|Recliners|Reserved Seating', 'barg': False, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AAXSJ&m=205740&d=2020-11-10'}, {'theatre': {'id': '11249', 'name': 'AMC Dine-in Theatres Block 37'}, 'dateTime': '2020-11-10T18:15', 'quals': '18 & Over unless with Guardian|Closed Captioned|Descriptive Video Services|Dine-In|Recliners|Reserved Seating', 'barg': False, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AAXSJ&m=205740&d=2020-11-10'}, {'theatre': {'id': '11249', 'name': 'AMC Dine-in Theatres Block 37'}, 'dateTime': '2020-11-10T19:00', 'quals': '18 & Over unless with Guardian|Closed Captioned|Descriptive Video Services|Dine-In|Recliners|Reserved Seating', 'barg': False, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AAXSJ&m=205740&d=2020-11-10'}]",240,360,Come Play (2020),en,assets/p18082622_p_v5_aa.jpg,Poster Art,yes,true,,,,
MV000441190000,17420,Feature Film,Toy Story,1995.0,1995-11-22,en,en,Movie,"['Comedy', 'Adventure', 'Fantasy', 'Animated', 'Children']","Woody (Tom Hanks), a good-hearted cowboy doll who belongs to a young boy named Andy (John Morris), sees his position as Andy's favorite toy jeopardized when his parents buy him a Buzz Lightyear (Tim Allen) action figure. Even worse, the arrogant Buzz thinks he's a real spaceman on a mission to return to his home planet. When Andy's family moves to a new house, Woody and Buzz must escape the clutches of maladjusted neighbor Sid Phillips (Erik von Detten) and reunite with their boy.",An action hero's arrival creates upset in a group of toys that comes to life when people are absent.,"['Tom Hanks', 'Tim Allen', 'Don Rickles']",['John Lasseter'],,"[{'body': 'Motion Picture Association of America', 'code': 'G'}]",,PT01H20M,"[{'theatre': {'id': '5193', 'name': 'AMC 600 North Michigan 9'}, 'dateTime': '2020-11-10T18:20', 'quals': 'Closed Captioned|Descriptive Video Services|Dine-In|Recliners|Reserved Seating', 'barg': False, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AABZU&m=5344&d=2020-11-10'}, {'theatre': {'id': '5316', 'name': 'AMC River East 21'}, 'dateTime': '2020-11-10T17:50', 'quals': 'Closed Captioned|Descriptive Video Services|Reserved Seating', 'barg': False, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AAQOW&m=5344&d=2020-11-10'}, {'theatre': {'id': '5316', 'name': 'AMC River East 21'}, 'dateTime': '2020-11-10T20:00', 'quals': 'Closed Captioned|Descriptive Video Services|Reserved Seating', 'barg': False, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AAQOW&m=5344&d=2020-11-10'}]",240,360,,,assets/p17420_v_v5_ap.jpg,VOD Art,yes,true,Children,Animated,TMS,4
MV013584170000,17721980,Feature Film,Let Him Go,2020.0,2020-09-09,en,en,Movie,['Thriller'],"Following the loss of their son, a retired sheriff and his wife leave their Montana ranch to rescue their young grandson from the clutches of a dangerous family living off the grid in the Dakotas.",An ex-sheriff and his wife must rescue their grandson from a dangerous family living off the grid.,"['Diane Lane', 'Kevin Costner', 'Kayli Carter']",['Thomas Bezucha'],https://www.focusfeatures.com/let-him-go/,"[{'body': 'Motion Picture Association of America', 'code': 'R'}]","['Adult Situations', 'Violence']",PT01H54M,"[{'theatre': {'id': '5193', 'name': 'AMC 600 North Michigan 9'}, 'dateTime': '2020-11-10T19:00', 'quals': 'Closed Captioned|Descriptive Video Services|Dine-In|Recliners|Reserved Seating', 'barg': False, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AABZU&m=203752&d=2020-11-10'}, {'theatre': {'id': '5316', 'name': 'AMC River East 21'}, 'dateTime': '2020-11-10T16:00', 'quals': 'Closed Captioned|Descriptive Video Services|Reserved Seating', 'barg': False, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AAQOW&m=203752&d=2020-11-10'}, {'theatre': {'id': '5316', 'name': 'AMC River East 21'}, 'dateTime': '2020-11-10T17:00', 'quals': 'Dolby Cinema at AMC Prime|Recliners|Reserved Seating', 'barg': False, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AAQOW&m=203752&d=2020-11-10'}, {'theatre': {'id': '5316', 'name': 'AMC River East 21'}, 'dateTime': '2020-11-10T18:45', 'quals': 'Closed Captioned|Descriptive Video Services|Reserved Seating', 'barg': False, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AAQOW&m=203752&d=2020-11-10'}, {'theatre': {'id': '5316', 'name': 'AMC River East 21'}, 'dateTime': '2020-11-10T19:45', 'quals': 'Dolby Cinema at AMC Prime|Recliners|Reserved Seating', 'barg': False, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AAQOW&m=203752&d=2020-11-10'}, {'theatre': {'id': '11249', 'name': 'AMC Dine-in Theatres Block 37'}, 'dateTime': '2020-11-10T15:30', 'quals': '18 & Over unless with Guardian|Closed Captioned|Descriptive Video Services|Dine-In|Recliners|Reserved Seating', 'barg': False, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AAXSJ&m=203752&d=2020-11-10'}, {'theatre': {'id': '11249', 'name': 'AMC Dine-in Theatres Block 37'}, 'dateTime': '2020-11-10T16:30', 'quals': '18 & Over unless with Guardian|Closed Captioned|Descriptive Video Services|Dine-In|Recliners|Reserved Seating', 'barg': False, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AAXSJ&m=203752&d=2020-11-10'}, {'theatre': {'id': '11249', 'name': 'AMC Dine-in Theatres Block 37'}, 'dateTime': '2020-11-10T18:15', 'quals': '18 & Over unless with Guardian|Closed Captioned|Descriptive Video Services|Dine-In|Recliners|Reserved Seating', 'barg': False, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AAXSJ&m=203752&d=2020-11-10'}, {'theatre': {'id': '11249', 'name': 'AMC Dine-in Theatres Block 37'}, 'dateTime': '2020-11-10T19:15', 'quals': '18 & Over unless with Guardian|Closed Captioned|Descriptive Video Services|Dine-In|Recliners|Reserved Seating', 'barg': False, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AAXSJ&m=203752&d=2020-11-10'}, {'theatre': {'id': '7965', 'name': 'Landmark Century Centre Cinema'}, 'dateTime': '2020-11-10T15:45', 'quals': 'Closed Captioned|Descriptive Video Services|Handicap Accessible|No Passes|Hearing Impaired', 'barg': True, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AAOPD&m=203752&d=2020-11-10'}, {'theatre': {'id': '7965', 'name': 'Landmark Century Centre Cinema'}, 'dateTime': '2020-11-10T16:45', 'quals': 'Closed Captioned|Descriptive Video Services|Handicap Accessible|No Passes|Hearing Impaired', 'barg': True, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AAOPD&m=203752&d=2020-11-10'}, {'theatre': {'id': '7965', 'name': 'Landmark Century Centre Cinema'}, 'dateTime': '2020-11-10T19:00', 'quals': 'Closed Captioned|Descriptive Video Services|Handicap Accessible|No Passes|Hearing Impaired', 'barg': False, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AAOPD&m=203752&d=2020-11-10'}]",240,360,,,assets/p17721980_v_v5_aa.jpg,VOD Art,yes,true,,,,
MV009399060000,13370112,Feature Film,The War With Grandpa,2020.0,2020-10-07,en,en,Movie,['Comedy'],"Peter and his grandpa used to be very close, but when Grandpa Jack moves in with the family, Peter is forced to give up his most prized possession: his bedroom. Peter will stop at nothing to get his room back, scheming with friends to devise a series of pranks to drive him out. However, grandpa doesn't give up easily, and it turns into an all-out war between the two.",A scheming boy devises a series of outrageous pranks to win back his room from his grandfather.,"['Robert De Niro', 'Uma Thurman', 'Rob Riggle']",['Tim Hill'],https://www.warwithgrandpa.com/,"[{'body': 'Motion Picture Association of America', 'code': 'PG'}]","['Adult Language', 'Adult Situations']",PT01H34M,"[{'theatre': {'id': '5193', 'name': 'AMC 600 North Michigan 9'}, 'dateTime': '2020-11-10T19:10', 'quals': 'Descriptive Video Services|Dine-In|Recliners|Reserved Seating|Closed Captioned', 'barg': False, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AABZU&m=167706&d=2020-11-10'}, {'theatre': {'id': '5316', 'name': 'AMC River East 21'}, 'dateTime': '2020-11-10T16:20', 'quals': 'Closed Captioned|Descriptive Video Services|Reserved Seating', 'barg': False, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AAQOW&m=167706&d=2020-11-10'}, {'theatre': {'id': '5316', 'name': 'AMC River East 21'}, 'dateTime': '2020-11-10T18:50', 'quals': 'Closed Captioned|Descriptive Video Services|Reserved Seating', 'barg': False, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AAQOW&m=167706&d=2020-11-10'}, {'theatre': {'id': '11249', 'name': 'AMC Dine-in Theatres Block 37'}, 'dateTime': '2020-11-10T16:15', 'quals': '18 & Over unless with Guardian|Closed Captioned|Descriptive Video Services|Dine-In|Recliners|Reserved Seating', 'barg': False, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AAXSJ&m=167706&d=2020-11-10'}, {'theatre': {'id': '11249', 'name': 'AMC Dine-in Theatres Block 37'}, 'dateTime': '2020-11-10T18:45', 'quals': '18 & Over unless with Guardian|Closed Captioned|Descriptive Video Services|Dine-In|Recliners|Reserved Seating', 'barg': False, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AAXSJ&m=167706&d=2020-11-10'}]",240,360,,,assets/p13370112_v_v5_ad.jpg,VOD Art,yes,true,,,,
MV013618560000,17758177,Feature Film,Tenet,2020.0,2020-08-26,en,en,Movie,"['Action', 'Science fiction', 'Thriller']","A secret agent embarks on a dangerous, time-bending mission to prevent the start of World War III.","A secret agent embarks on a dangerous, time-bending mission to prevent the start of World War III.","['John David Washington', 'Robert Pattinson', 'Elizabeth Debicki']",['Christopher Nolan'],https://www.tenetfilm.com/,"[{'body': 'Motion Picture Association of America', 'code': 'PG-13'}]","['Adult Language', 'Adult Situations', 'Violence']",PT02H30M,"[{'theatre': {'id': '5193', 'name': 'AMC 600 North Michigan 9'}, 'dateTime': '2020-11-10T19:30', 'quals': 'Closed Captioned|Descriptive Video Services|Dine-In|Recliners|Reserved Seating', 'barg': False, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AABZU&m=203875&d=2020-11-10'}, {'theatre': {'id': '5316', 'name': 'AMC River East 21'}, 'dateTime': '2020-11-10T18:15', 'quals': 'Closed Captioned|Descriptive Video Services|Reserved Seating', 'barg': False, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AAQOW&m=203875&d=2020-11-10'}, {'theatre': {'id': '11249', 'name': 'AMC Dine-in Theatres Block 37'}, 'dateTime': '2020-11-10T15:15', 'quals': '18 & Over unless with Guardian|Closed Captioned|Descriptive Video Services|Dine-In|Recliners|Reserved Seating', 'barg': False, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AAXSJ&m=203875&d=2020-11-10'}, {'theatre': {'id': '11249', 'name': 'AMC Dine-in Theatres Block 37'}, 'dateTime': '2020-11-10T18:30', 'quals': '18 & Over unless with Guardian|Closed Captioned|Descriptive Video Services|Dine-In|Recliners|Reserved Seating', 'barg': False, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AAXSJ&m=203875&d=2020-11-10'}, {'theatre': {'id': '7965', 'name': 'Landmark Century Centre Cinema'}, 'dateTime': '2020-11-10T19:30', 'quals': 'Closed Captioned|Descriptive Video Services|Handicap Accessible|No Passes|Hearing Impaired', 'barg': False, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AAOPD&m=203875&d=2020-11-10'}]",240,360,,,assets/p17758177_v_v5_ab.jpg,VOD Art,yes,true,,,TMS,3
MV013711250000,17842770,Feature Film,The Empty Man,2020.0,2020-10-23,en,en,Movie,"['Horror', 'Thriller']",A series of mysterious disappearances in a small Midwestern town may be linked to a supernatural entity.,A retired cop links mysterious disappearances to a mystical urban legend known as the Empty Man.,"['James Badge Dale', 'Owen Teague', 'Marin Ireland']",['David Prior'],,"[{'body': 'Motion Picture Association of America', 'code': 'R'}]","['Adult Language', 'Adult Situations', 'Nudity', 'Violence']",PT02H17M,"[{'theatre': {'id': '5193', 'name': 'AMC 600 North Michigan 9'}, 'dateTime': '2020-11-10T20:00', 'quals': 'Closed Captioned|Descriptive Video Services|Dine-In|Recliners|Reserved Seating', 'barg': False, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AABZU&m=204706&d=2020-11-10'}, {'theatre': {'id': '5316', 'name': 'AMC River East 21'}, 'dateTime': '2020-11-10T16:15', 'quals': 'Descriptive Video Services|Reserved Seating|Closed Captioned', 'barg': False, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AAQOW&m=204706&d=2020-11-10'}, {'theatre': {'id': '5316', 'name': 'AMC River East 21'}, 'dateTime': '2020-11-10T19:20', 'quals': 'Closed Captioned|Descriptive Video Services|Reserved Seating', 'barg': False, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AAQOW&m=204706&d=2020-11-10'}, {'theatre': {'id': '11249', 'name': 'AMC Dine-in Theatres Block 37'}, 'dateTime': '2020-11-10T15:45', 'quals': '18 & Over unless with Guardian|Closed Captioned|Descriptive Video Services|Dine-In|Recliners|Reserved Seating', 'barg': False, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AAXSJ&m=204706&d=2020-11-10'}, {'theatre': {'id': '11249', 'name': 'AMC Dine-in Theatres Block 37'}, 'dateTime': '2020-11-10T18:45', 'quals': '18 & Over unless with Guardian|Closed Captioned|Descriptive Video Services|Dine-In|Recliners|Reserved Seating', 'barg': False, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AAXSJ&m=204706&d=2020-11-10'}]",240,360,,,assets/p17842770_v_v5_aa.jpg,VOD Art,yes,true,,,,
MV013072000000,17395468,Feature Film,Honest Thief,2020.0,2020-09-09,en,en,Movie,"['Action', 'Thriller']","Hoping to cut a deal, a professional bank robber agrees to return all the money he stole in exchange for a reduced sentence. But when two FBI agents set him up for murder, he must now go on the run to clear his name and bring them to justice.",A professional bank robber goes on the run to clear his name and bring two crooked cops to justice.,"['Liam Neeson', 'Kate Walsh', 'Robert Patrick']",['Mark Williams'],,"[{'body': 'Motion Picture Association of America', 'code': 'PG-13'}]","['Adult Language', 'Adult Situations', 'Violence']",PT01H39M,"[{'theatre': {'id': '5193', 'name': 'AMC 600 North Michigan 9'}, 'dateTime': '2020-11-10T20:15', 'quals': 'Closed Captioned|Descriptive Video Services|Dine-In|Recliners|Reserved Seating', 'barg': False, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AABZU&m=201248&d=2020-11-10'}, {'theatre': {'id': '5316', 'name': 'AMC River East 21'}, 'dateTime': '2020-11-10T17:10', 'quals': 'Closed Captioned|Descriptive Video Services|Reserved Seating', 'barg': False, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AAQOW&m=201248&d=2020-11-10'}, {'theatre': {'id': '5316', 'name': 'AMC River East 21'}, 'dateTime': '2020-11-10T19:40', 'quals': 'Closed Captioned|Descriptive Video Services|Reserved Seating', 'barg': False, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AAQOW&m=201248&d=2020-11-10'}, {'theatre': {'id': '11249', 'name': 'AMC Dine-in Theatres Block 37'}, 'dateTime': '2020-11-10T16:45', 'quals': '18 & Over unless with Guardian|Closed Captioned|Descriptive Video Services|Dine-In|Recliners|Reserved Seating', 'barg': False, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AAXSJ&m=201248&d=2020-11-10'}, {'theatre': {'id': '11249', 'name': 'AMC Dine-in Theatres Block 37'}, 'dateTime': '2020-11-10T19:15', 'quals': '18 & Over unless with Guardian|Closed Captioned|Descriptive Video Services|Dine-In|Recliners|Reserved Seating', 'barg': False, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AAXSJ&m=201248&d=2020-11-10'}, {'theatre': {'id': '7965', 'name': 'Landmark Century Centre Cinema'}, 'dateTime': '2020-11-10T16:15', 'quals': 'Closed Captioned|Descriptive Video Services|Handicap Accessible|No Passes|Reserved Seating|Screening Lounge|Hearing Impaired', 'barg': True, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AAOPD&m=201248&d=2020-11-10'}]",240,360,Honest Thief (2020),en,assets/p17395468_p_v5_aa.jpg,Poster Art,yes,true,,,,
MV013065370000,17387266,Feature Film,Synchronic,2019.0,2019-09-07,en,en,Movie,"['Science fiction', 'Thriller']","When New Orleans paramedics and longtime best friends Steve and Dennis are called to a series of bizarre and gruesome accidents, they chalk it up to a mysterious new drug found at the scene. But after Dennis' oldest daughter disappears, Steve stumbles upon a terrifying truth about the supposed psychedelic that will challenge everything he knows about reality -- and the flow of time itself.",A paramedic encounters a psychedelic drug that changes reality and the flow of time itself.,"['Anthony Mackie', 'Jamie Dornan', 'Katie Aselton']","['Justin Benson', 'Aaron Moorhead']",https://www.wellgousa.com/films/synchronic,"[{'body': 'Motion Picture Association of America', 'code': 'R'}]","['Adult Language', 'Adult Situations', 'Violence']",PT01H40M,"[{'theatre': {'id': '5193', 'name': 'AMC 600 North Michigan 9'}, 'dateTime': '2020-11-10T20:30', 'quals': 'Dine-In|Recliners|Reserved Seating', 'barg': False, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AABZU&m=201126&d=2020-11-10'}, {'theatre': {'id': '5316', 'name': 'AMC River East 21'}, 'dateTime': '2020-11-10T16:00', 'quals': 'Reserved Seating', 'barg': False, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AAQOW&m=201126&d=2020-11-10'}, {'theatre': {'id': '5316', 'name': 'AMC River East 21'}, 'dateTime': '2020-11-10T18:30', 'quals': 'Reserved Seating', 'barg': False, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AAQOW&m=201126&d=2020-11-10'}]",240,360,Synchronic (2019),en,assets/p17387266_p_v5_ab.jpg,Poster Art,yes,true,,,,
MV013880680000,18004119,Feature Film,True to the Game 2,2020.0,2020-11-06,en,en,Movie,['Crime drama'],A journalist becomes the target of a criminal.,A journalist becomes the target of a criminal.,"['Erica Peeples', 'Vivica A. Fox', 'Rotimi']",['Jamal Hill'],https://truetothegame2.com/,"[{'body': 'Motion Picture Association of America', 'code': 'R'}]","['Adult Language', 'Adult Situations', 'Nudity', 'Violence']",PT01H33M,"[{'theatre': {'id': '5316', 'name': 'AMC River East 21'}, 'dateTime': '2020-11-10T16:00', 'quals': 'Reserved Seating', 'barg': False, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AAQOW&m=205054&d=2020-11-10'}, {'theatre': {'id': '5316', 'name': 'AMC River East 21'}, 'dateTime': '2020-11-10T17:30', 'quals': 'Reserved Seating', 'barg': False, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AAQOW&m=205054&d=2020-11-10'}, {'theatre': {'id': '5316', 'name': 'AMC River East 21'}, 'dateTime': '2020-11-10T18:30', 'quals': 'Reserved Seating', 'barg': False, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AAQOW&m=205054&d=2020-11-10'}, {'theatre': {'id': '5316', 'name': 'AMC River East 21'}, 'dateTime': '2020-11-10T19:00', 'quals': 'Reserved Seating', 'barg': False, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AAQOW&m=205054&d=2020-11-10'}, {'theatre': {'id': '5316', 'name': 'AMC River East 21'}, 'dateTime': '2020-11-10T19:50', 'quals': 'Reserved Seating', 'barg': False, 'ticketURI': 'http://www.fandango.com/tms.asp?t=AAQOW&m=205054&d=2020-11-10'}]",,,,,tvbanners/generic/generic_tvbanners_v5.png,,,,,,,
